algorithm, matrix_size, tile_size, case, PKG1, PKG2, DRAM1, DRAM2, time
qr, 32768, 1024, 1, 30392232499, 27109323483, 5505615296, 2064229274, 249.891000
qr, 32768, 1024, 2, 30647457920, 27623355920, 5570561975, 2059986003, 252.563000
qr, 32768, 1024, 3, 26216366907, 22765271982, 5566042141, 2114900992, 253.733000
qr, 32768, 1024, 4, 26313396016, 22665883564, 5616930721, 2079710410, 255.528000
qr, 32768, 1024, 5, 26108224728, 23304050449, 5558642556, 2083486328, 251.702000
qr, 32768, 1024, 6, 25956642963, 23260247155, 5580733905, 2068743401, 253.791000
qr, 32768, 1024, 7, 16487620939, 16532405248, 3109755584, 3573026350, 195.352000
qr, 32768, 1024, 8, 19397139492, 20517402126, 2477429580, 4616418173, 253.486000
qr, 32768, 1024, 9, 30775204540, 27334188508, 5562529874, 2047739025, 252.174000
qr, 32768, 1024, 10, 30328571041, 27304731613, 5535303845, 2062895572, 251.359000
qr, 32768, 1024, 11, 26071285125, 22345279405, 5610351645, 2070627061, 254.840000
qr, 32768, 1024, 12, 25606730772, 22317495113, 5624372213, 2097885281, 256.057000
qr, 32768, 1024, 13, 25759817234, 22904827289, 5557748026, 2063478870, 252.271000
qr, 32768, 1024, 14, 25808707794, 22968053872, 5564308315, 2066133068, 251.936000
qr, 32768, 1024, 15, 21573790047, 18349068994, 5501477702, 1981156364, 250.681000
qr, 32768, 1024, 16, 21779244599, 18066919569, 5662134265, 1878182544, 258.058000
qr, 32768, 2048, 1, 65293463585, 57974843222, 10735036139, 3802624683, 494.442000
qr, 32768, 2048, 2, 61108243525, 55509582017, 10334155852, 3846458082, 475.695000
qr, 32768, 2048, 3, 61074265220, 51553305034, 10842737124, 3918738357, 502.804000
qr, 32768, 2048, 4, 61059642026, 50653348416, 11108037563, 3850315350, 514.267000
qr, 32768, 2048, 5, 46727156562, 44589262682, 10438663680, 4044853228, 484.642000
qr, 32768, 2048, 6, 45962728771, 42026616838, 10545812655, 3779169584, 486.364000
qr, 32768, 2048, 7, 41218001415, 35245486187, 10221791030, 3460013650, 471.389000
qr, 32768, 2048, 8, 41646083632, 35186150524, 10745565722, 3310037343, 498.073000
qr, 32768, 2048, 9, 61965878232, 56444605990, 10421853509, 3806363544, 479.340000
qr, 32768, 2048, 10, 62670923424, 56840600826, 10735917848, 3877157975, 494.610000
qr, 32768, 2048, 11, 60221991949, 51911849893, 10883327702, 3865544312, 506.050000
qr, 32768, 2048, 12, 57239867809, 48834718794, 10646920671, 3853414212, 492.358000
qr, 32768, 2048, 13, 47109368352, 44441934690, 10678570173, 3956102058, 493.196000
qr, 32768, 2048, 14, 44302827563, 42668338523, 10491353973, 3940664925, 485.177000
qr, 32768, 2048, 15, 42071310510, 36166658328, 10600341672, 3405475820, 493.937000
qr, 32768, 2048, 16, 42361411513, 35398430253, 11060640121, 3279879835, 516.383000
