algorithm, matrix_size, tile_size, case, PKG1, PKG2, DRAM1, DRAM2, time
qr, 32768, 1024, 1, 28135237483, 29427324080, 2606678258, 4558644899, 247.680000
qr, 32768, 1024, 2, 30505949980, 27445983022, 5562616242, 2068336559, 251.972000
qr, 32768, 1024, 3, 26091560586, 22439541859, 5648852075, 2098310713, 256.905000
qr, 32768, 1024, 4, 26377655495, 22699232417, 5635528775, 2088475398, 256.685000
qr, 32768, 1024, 5, 26231259691, 23403309289, 5591314773, 2093664761, 254.114000
qr, 32768, 1024, 6, 22931057141, 24031914125, 2540345399, 4481706845, 243.029000
qr, 32768, 1024, 7, 22013853801, 18482060169, 5538657054, 1949690613, 252.247000
qr, 32768, 1024, 8, 19231584190, 20405495614, 2442437333, 4661879461, 253.906000
qr, 32768, 1024, 9, 29892470167, 26664380897, 5498462684, 2080556959, 249.030000
qr, 32768, 1024, 10, 30127039147, 27196194598, 5511422151, 2073228535, 249.824000
qr, 32768, 1024, 11, 26238131011, 22521856772, 5632536814, 2068115260, 255.789000
qr, 32768, 1024, 12, 23183232033, 24585987291, 2633101099, 4609645659, 251.184000
qr, 32768, 1024, 13, 25805131387, 23107685901, 5552182407, 2056560347, 251.637000
qr, 32768, 1024, 14, 23530000432, 24585866625, 2576923706, 4573953269, 247.589000
qr, 32768, 1024, 15, 22108763714, 18678559422, 5621465901, 1903390288, 256.498000
qr, 32768, 1024, 16, 21297943951, 17886890123, 5482478605, 1893539414, 249.552000
qr, 32768, 2048, 1, 67183388191, 59488378226, 10970970188, 3990540400, 507.252000
qr, 32768, 2048, 2, 65491776310, 58071138386, 10999677716, 3880301391, 508.126000
qr, 32768, 2048, 3, 60023170375, 51989522363, 10831325221, 3844194937, 499.884000
qr, 32768, 2048, 4, 60836137595, 50519251896, 10950136254, 3996931501, 513.927000
qr, 32768, 2048, 5, 46629145216, 42382775411, 10327456671, 3762661955, 475.762000
qr, 32768, 2048, 6, 44598491662, 41869059868, 10293152632, 3906506160, 477.331000
qr, 32768, 2048, 7, 41851728003, 37114967730, 10529514896, 3245410892, 488.475000
qr, 32768, 2048, 8, 40997363491, 34805739266, 10541538967, 3286852349, 491.677000
qr, 32768, 2048, 9, 61452570708, 56042289393, 10358733113, 3763666875, 475.513000
qr, 32768, 2048, 10, 61655877255, 54980810055, 10535935021, 3748668025, 485.548000
qr, 32768, 2048, 11, 57571854142, 51068188357, 10577729480, 3908615112, 489.301000
qr, 32768, 2048, 12, 57084651287, 48991779000, 10670513607, 3776854113, 494.298000
qr, 32768, 2048, 13, 46854982529, 44540319448, 10664912384, 3950204811, 496.399000
qr, 32768, 2048, 14, 45815270774, 40790765632, 10537699066, 3740227672, 486.806000
qr, 32768, 2048, 15, 43032241034, 36812222655, 10832312514, 3322481506, 506.272000
qr, 32768, 2048, 16, 39695636599, 33707924694, 10453573469, 3188692660, 483.089000
