algorithm,matrix_size,tile_size,case,PKG1,PKG2,DRAM1,DRAM2,time
cholesky,16384,1024,1,239662798.0,218475108.33333334,43803971.333333336,19675667.666666668,1.9497566666666666
cholesky,16384,1024,2,239695879.0,224789362.0,37774348.666666664,25143877.666666668,1.9848299999999999
cholesky,16384,1024,3,198213929.33333334,180486924.33333334,45473212.0,19796644.333333332,2.0127900000000003
cholesky,16384,1024,4,190263225.66666666,181255558.0,37401324.333333336,25656682.333333332,1.9747066666666668
cholesky,16384,1024,5,231145954.0,208795384.66666666,44058527.333333336,19639830.0,1.9753
cholesky,16384,1024,6,232153316.0,209072829.0,44110313.333333336,19731022.666666668,1.9868466666666666
cholesky,16384,1024,7,191594337.66666666,179513965.0,38864223.333333336,26566170.333333332,2.06832
cholesky,16384,1024,8,195402779.33333334,174619263.33333334,46438615.666666664,20143990.333333332,2.08408
cholesky,16384,1024,9,232541640.66666666,210264151.0,43481493.0,19899710.333333332,1.9351500000000001
cholesky,16384,1024,10,237534629.33333334,212070013.33333334,44063184.0,19353444.333333332,1.9667000000000001
cholesky,16384,1024,11,199235594.33333334,176223242.66666666,46254832.666666664,20357272.333333332,2.0497433333333333
cholesky,16384,1024,12,198589050.33333334,177189162.33333334,46135130.666666664,20963004.0,2.05371
cholesky,16384,1024,13,226814848.66666666,201275017.66666666,43970491.333333336,19929423.0,1.9711966666666667
cholesky,16384,1024,14,221732952.66666666,208306189.0,37457174.333333336,25262141.333333332,1.9788366666666668
cholesky,16384,1024,15,192506872.0,171047027.0,46334377.333333336,20537995.666666668,2.07503
cholesky,16384,1024,16,193467664.33333334,172225979.0,46474795.666666664,20813559.0,2.0849933333333333
cholesky,16384,2048,1,237230939.66666666,220991682.33333334,40804957.0,18802899.666666668,1.84099
cholesky,16384,2048,2,248906507.66666666,228376653.0,42995688.0,19213724.666666668,1.97248
cholesky,16384,2048,3,210931243.0,190416809.66666666,43818812.666666664,19566909.666666668,1.9838466666666665
cholesky,16384,2048,4,212804529.33333334,196646245.33333334,38369844.666666664,25305955.0,2.0633966666666668
cholesky,16384,2048,5,241968293.33333334,224864577.33333334,43340427.333333336,19671348.333333332,2.0235233333333333
cholesky,16384,2048,6,246487914.33333334,226402334.0,44308305.666666664,20295786.666666668,2.102843333333333
cholesky,16384,2048,7,204912581.66666666,191451068.33333334,38274383.333333336,25264272.666666668,2.0841333333333334
cholesky,16384,2048,8,211540128.0,192681229.0,45717476.333333336,20858888.0,2.174186666666667
cholesky,16384,2048,9,226811045.0,212965926.0,40819471.666666664,19054329.333333332,1.8510066666666667
cholesky,16384,2048,10,235679999.66666666,219614835.0,42459621.666666664,19640722.333333332,1.9543799999999998
cholesky,16384,2048,11,196885848.33333334,190230653.0,31079553.0,30560729.666666668,2.0034466666666666
cholesky,16384,2048,12,203305286.33333334,183972368.33333334,43857031.333333336,20061441.333333332,2.0246066666666667
cholesky,16384,2048,13,229011783.66666666,212771143.0,43030566.666666664,20104404.333333332,2.01775
cholesky,16384,2048,14,240845818.66666666,218407257.33333334,45414781.0,19807104.666666668,2.1576233333333334
cholesky,16384,2048,15,201806815.66666666,187191578.33333334,45795118.666666664,20098855.666666668,2.15753
cholesky,16384,2048,16,204424667.66666666,185810844.33333334,45839080.666666664,21483643.0,2.1912833333333332
