algorithm, matrix_size, tile_size, case, PKG1, PKG2, DRAM1, DRAM2, time
cholesky, 32768, 512, 1, 1988920445, 1765145079, 360028813, 136932383, 16.096800
cholesky, 32768, 512, 2, 1978112124, 1743539177, 354555437, 137643849, 15.898600
cholesky, 32768, 512, 3, 1672297965, 1446248617, 398353937, 139993011, 17.820600
cholesky, 32768, 512, 4, 1693433592, 1461335797, 404921354, 141205475, 18.113700
cholesky, 32768, 512, 5, 1998027051, 1745019519, 366310840, 136617754, 16.395900
cholesky, 32768, 512, 6, 2001852847, 1761327034, 367060662, 134130327, 16.408600
cholesky, 32768, 512, 7, 1675166366, 1448688979, 404916107, 135889995, 18.091300
cholesky, 32768, 512, 8, 1700469341, 1466455353, 411874745, 137636459, 18.411400
cholesky, 32768, 512, 9, 2027686459, 1790141901, 366929573, 133581501, 16.406900
cholesky, 32768, 512, 10, 2012026709, 1767255303, 361223223, 135891341, 16.156300
cholesky, 32768, 512, 11, 1690485358, 1460953230, 401822279, 133490587, 17.910500
cholesky, 32768, 512, 12, 1727160923, 1473965282, 412962698, 131004062, 18.428200
cholesky, 32768, 512, 13, 1990913849, 1763323489, 364353022, 128366311, 16.279100
cholesky, 32768, 512, 14, 2001773684, 1768007742, 366539989, 131386730, 16.411200
cholesky, 32768, 512, 15, 1688695445, 1460549545, 404196914, 139335999, 18.102900
cholesky, 32768, 512, 16, 1711635999, 1474777230, 411781369, 140497667, 18.470800 
cholesky, 32768, 1024, 1, 1855788950, 1635349085, 333477775, 153389722, 14.883100
cholesky, 32768, 1024, 2, 1856141244, 1639002763, 332543113, 153472097, 14.877200
cholesky, 32768, 1024, 3, 1496182327, 1314309562, 350079071, 158511091, 15.654200
cholesky, 32768, 1024, 4, 1486775857, 1304292559, 348665473, 157414142, 15.568800
cholesky, 32768, 1024, 5, 1826303674, 1603558211, 334204617, 153484704, 14.951700
cholesky, 32768, 1024, 6, 1816503590, 1610473844, 333218792, 151261201, 14.912500
cholesky, 32768, 1024, 7, 1463012429, 1282918590, 348373029, 158933217, 15.597000
cholesky, 32768, 1024, 8, 1458722645, 1281755996, 346528445, 157498261, 15.542500
cholesky, 32768, 1024, 9, 1850274927, 1623754754, 334320025, 153247095, 14.930500
cholesky, 32768, 1024, 10, 1845177710, 1627258285, 330126157, 152503622, 14.769000
cholesky, 32768, 1024, 11, 1475129707, 1302879172, 345575806, 156617409, 15.475800
cholesky, 32768, 1024, 12, 1491259977, 1309759648, 349843496, 158067299, 15.653800
cholesky, 32768, 1024, 13, 1811461671, 1599226131, 332719125, 151404409, 14.917900
cholesky, 32768, 1024, 14, 1819785564, 1597144654, 333498017, 153846839, 14.978100
cholesky, 32768, 1024, 15, 1355109751, 1404972660, 188416241, 291754354, 15.790200
cholesky, 32768, 1024, 16, 1467856959, 1284573006, 351568418, 159470660, 15.791900
cholesky, 32768, 2048, 1, 1819936137, 1628834454, 313061026, 143825126, 14.001900
cholesky, 32768, 2048, 2, 1772663065, 1617620676, 308528156, 141077980, 13.783000
cholesky, 32768, 2048, 3, 1458813953, 1317381454, 328076339, 137984886, 14.624100
cholesky, 32768, 2048, 4, 1478587707, 1323237579, 330274230, 142655272, 14.751100
cholesky, 32768, 2048, 5, 1731858970, 1581237102, 315376498, 138459905, 14.108100
cholesky, 32768, 2048, 6, 1714585637, 1556629804, 309905723, 142523263, 13.890700
cholesky, 32768, 2048, 7, 1411519885, 1266745476, 325516175, 142500865, 14.557000
cholesky, 32768, 2048, 8, 1380270148, 1249387610, 319433186, 135985666, 14.287100
cholesky, 32768, 2048, 9, 1725245034, 1563889917, 306180755, 144040503, 13.658400
cholesky, 32768, 2048, 10, 1768798938, 1599654718, 314707827, 141155137, 14.063200
cholesky, 32768, 2048, 11, 1368479040, 1419659391, 169337478, 281615365, 15.178300
cholesky, 32768, 2048, 12, 1325418726, 1347447906, 173229813, 265792579, 14.369000
cholesky, 32768, 2048, 13, 1572154117, 1626753343, 169763185, 260621577, 13.983000
cholesky, 32768, 2048, 14, 1602472521, 1622316404, 171433257, 261306405, 14.113000
cholesky, 32768, 2048, 15, 1271257549, 1287554687, 171156082, 264408557, 14.238800
cholesky, 32768, 2048, 16, 1301866174, 1331728463, 172502497, 273700767, 14.790800
